,acronym,location,lat,lon,count
0,beijing,beijing,39.904202000000005,116.407394, 3
1,shandong,shandong,36.395859,118.76988200000001, 2
2,houston,houston,29.760427000000004,-95.369804, 1
3,boston,Boston,42.360081,-71.05888399999999, 4
4,cinqueterre,Cinqueterre,44.098869,9.74082, 2
5,h1,Highway One,36.25288,-121.78735400000001, 4
6,ottawa,Ottawa,45.421532,-75.697189, 4
7,seattle,Seattle,47.6038321,-122.3300624, 2
8,florence,florence,43.769871200000004,11.2555757, 5
9,yosemite,yosemite,37.8529772,-119.8313004, 5
10,mountain,mountain view,37.3893889,-122.0832101, view
11,venice,venice,45.437190799999996,12.3345898, 8
12,la,los angeles,34.054935,-118.244476, 5
13,paris,paris,48.8588377,2.27702, 4
14,huangshan,huangshan,29.7106276,118.2453802, 1
15,shanghai,shanghai,31.2231337,120.9162783, 4
16,nf,niagara falls,43.0538471,-79.2281193, 3
17,santacruz,santa cruz,36.9758863,-122.0824995, 1
18,murano,murano,45.4584289,12.3433112, 2
19,algonquin,algonquin park,45.8371591,-78.3813126, 2
20,tahoe,tahoe,39.0927182,-120.1850529, 1
21,peggys,Peggy's Cove,44.493773299999994,-63.9148632, 2
22,versailles,Versailles,47.8038627,2.0841591, 1
23,bruce,Bruce Peninsula,-83.0000,45.0000, 3
24,hp,The Wizarding World,33.13817015,-118.353468287702, 3
25,plaisance,plaisance,45.607575,-75.1308759, 2
26,victoria,victoria,48.428421,-123.365646, 5
27,upei,prince edwards island,46.6625373,-64.2350483, 4
28,charlottetown,Charlottetown,46.2619398,-63.20593, 3
29,toronto,toronto,43.653963,-79.38720699999999, 7
30,waterloo,waterloo,43.466874,-80.524635, 4
31,waterloo,waterloo,43.466874,-80.524635, 5
32,missionpeak,mission peak,37.5125462,-121.8809081, 1
33,sandiego,san diego,32.7174209,-117.16277140000001, 2
34,us,universal studio los angeles,34.13778775,-118.36108533127701, 8
35,rome,rome,41.894802,12.4853384, 3
36,suzhou,suzhou,31.3016935,120.5810725, 3
37,wuxi,wuxi,31.575634700000002,120.2954534, 1
38,sf,san francisco,37.779280799999995,-122.4192363, 9
39,montreal,montreal,45.4972159,-73.61036419999999, 7
40,quebec,quebec,46.856283,-71.4817766, 1
41,singapore,singapore,1.3139843,103.5640535,5
42,seoul,seoul,37.5652894,126.8494632,3
43,tokyo,tokyo,35.6812405,139.7649361,4
44,osaka,osaka,34.6778453,135.3459772,3
45,kyoto,kyoto,35.0984796,135.4386767,2
46,kamakura,kamakura,35.333965,139.5057853,1
47,nara,nara,34.6850514,135.8408233,1

